Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-29,8,8426,71574,277,257,0,1593,2022-04-29,2022-04-28,202250,787.6390605686031
2022-04-29,8,8435,68332,307,247,0,1571,2022-04-29,2022-04-28,217901,720.9696146415115
2022-04-29,8,8436,96642,221,509,0,2159,2022-04-29,2022-04-28,285888,755.1908439668681
2022-04-29,8,8437,48158,168,121,1,835,2022-04-29,2022-04-28,130946,637.6674354313992
2022-04-29,9,9161,48517,244,133,0,822,2022-04-29,2022-04-28,136952,600.2102926572813
2022-04-29,9,9162,496184,1981,1383,8,9197,2022-04-29,2022-04-28,1488202,617.9940626339704
2022-04-29,9,9163,25026,124,85,0,485,2022-04-29,2022-04-28,63591,762.68654369329
2022-04-29,9,9171,43218,324,146,0,913,2022-04-29,2022-04-28,111654,817.7046948609096
2022-04-29,9,9172,41372,186,51,0,567,2022-04-29,2022-04-28,106327,533.2606017286296
2022-04-29,9,9173,45147,178,120,0,735,2022-04-29,2022-04-28,128212,573.2692727669797
2022-04-29,9,9174,57118,236,192,0,1285,2022-04-29,2022-04-28,155117,828.4069444354907
2022-04-29,9,9175,50611,275,249,1,1443,2022-04-29,2022-04-28,144091,1001.4504722709955
2022-04-29,9,9176,47219,140,129,1,961,2022-04-29,2022-04-28,133169,721.6394205858721
2022-04-29,9,9177,53291,183,211,0,1093,2022-04-29,2022-04-28,138891,786.9480383898165
2022-04-29,9,9178,61587,213,269,0,1347,2022-04-29,2022-04-28,180313,747.0343236483226
2022-04-29,9,9179,71187,226,254,0,1862,2022-04-29,2022-04-28,218740,851.2389137789155
2022-04-29,9,9180,28829,148,84,0,521,2022-04-29,2022-04-28,88279,590.1743336467337
2022-04-29,9,9181,40118,122,323,0,957,2022-04-29,2022-04-28,121019,790.7849180707161
2022-04-29,9,9182,35253,182,141,0,797,2022-04-29,2022-04-28,100183,795.544154197818
2022-04-29,9,9183,49362,302,207,0,1008,2022-04-29,2022-04-28,116483,865.362327549943
2022-04-29,9,9184,109625,362,405,0,2217,2022-04-29,2022-04-28,349685,633.9991706821854
2022-04-29,9,9185,36749,147,130,0,688,2022-04-29,2022-04-28,97730,703.9803540366315
2022-04-29,9,9186,45919,236,117,1,847,2022-04-29,2022-04-28,129128,655.9382937860108
2022-04-29,9,9187,104346,701,354,0,2218,2022-04-29,2022-04-28,261721,847.4673411762907
2022-04-29,9,9188,41055,167,154,0,989,2022-04-29,2022-04-28,136610,723.9587145889759
2022-04-29,9,9189,73745,354,214,0,1134,2022-04-29,2022-04-28,177485,638.9272332873201
2022-04-29,9,9190,46682,188,176,0,1086,2022-04-29,2022-04-28,136134,797.7433998854069
2022-04-29,9,9261,24610,173,50,0,435,2022-04-29,2022-04-28,73065,595.3602956271814
2022-04-29,9,9262,18128,144,49,0,290,2022-04-29,2022-04-28,52415,553.27673375942
2022-04-29,9,9263,16511,130,59,0,415,2022-04-29,2022-04-28,47612,871.6290010921616
2022-04-29,9,9271,45433,281,128,1,679,2022-04-29,2022-04-28,119479,568.3007055633208
2022-04-29,9,9272,31879,217,84,0,517,2022-04-29,2022-04-28,78355,659.8174972879842
2022-04-29,9,9273,45181,158,134,0,1061,2022-04-29,2022-04-28,123390,859.8751924791313
2022-04-29,9,9274,59082,300,142,0,1236,2022-04-29,2022-04-28,161191,766.7921906309906
2022-04-29,9,9275,75769,557,209,0,1465,2022-04-29,2022-04-28,193454,757.2859697912681
2022-04-29,9,9276,32006,253,84,0,455,2022-04-29,2022-04-28,77313,588.5168082987337
2022-04-29,9,9277,48728,345,187,0,987,2022-04-29,2022-04-28,121800,810.3448275862069
2022-04-29,9,9278,41401,194,148,1,1048,2022-04-29,2022-04-28,101745,1030.0260455059217
2022-04-29,9,9279,38018,224,128,1,702,2022-04-29,2022-04-28,97244,721.8954382789683
2022-04-29,9,9361,13008,55,39,0,231,2022-04-29,2022-04-28,42052,549.3198896604205
2022-04-29,9,9362,52548,160,189,1,944,2022-04-29,2022-04-28,152270,619.9514021146648
2022-04-29,9,9363,14949,118,40,0,287,2022-04-29,2022-04-28,42535,674.7384506876689
2022-04-29,9,9371,32564,219,120,0,708,2022-04-29,2022-04-28,102998,687.3919881939455
2022-04-29,9,9372,47737,269,285,0,1128,2022-04-29,2022-04-28,128094,880.6033069464612
2022-04-29,9,9373,46471,244,184,0,1239,2022-04-29,2022-04-28,135225,916.2506932889629
2022-04-29,9,9374,35719,233,110,0,751,2022-04-29,2022-04-28,94645,793.4914681177029
2022-04-29,9,9375,72230,256,258,1,1477,2022-04-29,2022-04-28,194275,760.2625144769013
2022-04-29,9,9376,54063,279,177,0,982,2022-04-29,2022-04-28,148477,661.3818975329513
2022-04-29,9,9377,26589,306,83,0,758,2022-04-29,2022-04-28,71696,1057.24168712341
2022-04-29,9,9461,23121,149,91,0,681,2022-04-29,2022-04-28,76674,888.1759136082636
2022-04-29,9,9462,24235,166,104,1,607,2022-04-29,2022-04-28,74048,819.7385479688851
2022-04-29,9,9463,14218,118,56,0,323,2022-04-29,2022-04-28,40842,790.8525537436952
2022-04-29,9,9464,16686,166,41,0,379,2022-04-29,2022-04-28,45173,838.9967458437562
2022-04-29,9,9471,55478,253,184,0,1580,2022-04-29,2022-04-28,147497,1071.2082279639585
2022-04-29,9,9472,34686,215,183,0,1149,2022-04-29,2022-04-28,103679,1108.228281522777
2022-04-29,9,9473,30415,204,128,0,803,2022-04-29,2022-04-28,86571,927.5623476683878
2022-04-29,9,9474,40570,185,155,1,954,2022-04-29,2022-04-28,116600,818.1818181818182
2022-04-29,9,9475,32423,249,118,0,978,2022-04-29,2022-04-28,94522,1034.6797570935867
