Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,9,9476,LK Kronach,26120,171,45,1,139,209.47931580137143
2022-05-24,9,9477,LK Kulmbach,26112,161,87,0,278,389.203113624909
2022-05-24,9,9478,LK Lichtenfels,26577,166,53,0,195,292.257426336141
2022-05-24,9,9479,LK Wunsiedel i.Fichtelgebirge,26422,265,62,0,259,359.85216883874733
2022-05-24,9,9561,SK Ansbach,15274,63,42,0,89,213.52654686787744
2022-05-24,9,9562,SK Erlangen,32205,133,118,0,503,447.5686257062775
2022-05-24,9,9563,SK Fürth,46232,307,112,0,427,333.0135779072397
2022-05-24,9,9564,SK Nürnberg,186447,1231,349,0,1590,308.4126833261241
2022-05-24,9,9565,SK Schwabach,14435,139,28,1,128,311.7692907248636
2022-05-24,9,9571,LK Ansbach,69164,261,240,0,592,319.45433745602105
2022-05-24,9,9572,LK Erlangen-Höchstadt,48761,180,184,0,892,645.8853770681727
2022-05-24,9,9573,LK Fürth,41234,279,88,1,370,311.72332448713087
2022-05-24,9,9574,LK Nürnberger Land,57221,300,155,0,629,367.5289085735321
2022-05-24,9,9575,LK Neustadt a.d.Aisch-Bad Windsheim,35600,154,51,0,396,391.0261474050083
2022-05-24,9,9576,LK Roth,46369,246,137,0,483,379.81253145445396
2022-05-24,9,9577,LK Weißenburg-Gunzenhausen,35102,174,84,0,353,371.12188147229205
2022-05-24,9,9661,SK Aschaffenburg,24134,168,51,1,206,290.722289649722
2022-05-24,9,9662,SK Schweinfurt,21453,142,28,0,82,153.7913314203192
2022-05-24,9,9663,SK Würzburg,48354,195,110,0,367,289.0810844872946
2022-05-24,9,9671,LK Aschaffenburg,58048,291,137,1,653,373.87351280788744
2022-05-24,9,9672,LK Bad Kissingen,38008,196,78,0,361,349.911310568097
2022-05-24,9,9673,LK Rhön-Grabfeld,31024,155,69,0,362,455.28864293799523
2022-05-24,9,9674,LK Haßberge,34061,149,93,0,302,358.3506377929398
2022-05-24,9,9675,LK Kitzingen,32476,141,43,0,227,247.55714534985168
2022-05-24,9,9676,LK Miltenberg,47196,212,100,0,395,306.8127975889951
2022-05-24,9,9677,LK Main-Spessart,40133,248,85,1,348,276.2430939226519
2022-05-24,9,9678,LK Schweinfurt,45600,220,66,1,249,215.30107564071525
2022-05-24,9,9679,LK Würzburg,56562,149,108,0,463,284.5780807267497
2022-05-24,9,9761,SK Augsburg,108887,651,210,1,700,236.6223844775716
2022-05-24,9,9762,SK Kaufbeuren,15825,113,38,0,133,297.7923066589047
2022-05-24,9,9763,SK Kempten,25805,97,72,0,170,246.59123875834058
2022-05-24,9,9764,SK Memmingen,16573,37,32,0,87,196.12263300270513
2022-05-24,9,9771,LK Aichach-Friedberg,49898,161,150,0,484,358.45479322194575
2022-05-24,9,9772,LK Augsburg,92339,416,196,0,893,348.9644392340758
2022-05-24,9,9773,LK Dillingen a.d.Donau,38596,214,108,2,405,416.7867286872762
2022-05-24,9,9774,LK Günzburg,48821,205,77,0,362,284.27384523566457
2022-05-24,9,9775,LK Neu-Ulm,60579,263,111,0,416,236.60158227308145
2022-05-24,9,9776,LK Lindau,29305,105,52,0,201,244.86812450508617
2022-05-24,9,9777,LK Ostallgäu,55786,258,187,0,650,458.04646705236524
2022-05-24,9,9778,LK Unterallgäu,57470,250,115,0,430,294.19008784652857
2022-05-24,9,9779,LK Donau-Ries,52624,249,112,0,577,429.5583812274798
2022-05-24,9,9780,LK Oberallgäu,57386,177,114,0,372,237.9916574967372
2022-05-24,10,10041,LK Stadtverband Saarbrücken,101812,720,169,1,765,233.58635977795555
2022-05-24,10,10042,LK Merzig-Wadern,33488,144,72,0,278,268.6743145422389
2022-05-24,10,10043,LK Neunkirchen,40723,204,68,0,317,241.66742902448695
2022-05-24,10,10044,LK Saarlouis,65218,256,124,0,517,266.86350215761985
2022-05-24,10,10045,LK Saarpfalz-Kreis,44243,193,62,0,338,238.60620093748233
2022-05-24,10,10046,LK Sankt Wendel,27896,155,55,0,271,313.4469916028592
2022-05-24,11,11001,SK Berlin Mitte,119530,404,0,0,673,179.6674150584253
2022-05-24,11,11002,SK Berlin Friedrichshain-Kreuzberg,93699,207,183,0,600,214.8920167615773
2022-05-24,11,11003,SK Berlin Pankow,117145,289,255,0,989,244.68872081487035
