Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,8,8222,93245,471,467,0,2375,2022-04-23,2022-04-22,309721,766.8191695106241
2022-04-23,8,8225,45981,210,261,0,1445,2022-04-23,2022-04-22,143797,1004.8888363456817
2022-04-23,8,8226,155574,659,843,1,4767,2022-04-23,2022-04-22,548233,869.520805934703
2022-04-23,8,8231,42328,317,199,1,912,2022-04-23,2022-04-22,126016,723.717623158964
2022-04-23,8,8235,49547,279,290,2,1321,2022-04-23,2022-04-22,160149,824.8568520565224
2022-04-23,8,8236,61387,335,385,2,1916,2022-04-23,2022-04-22,199752,959.1893948496134
2022-04-23,8,8237,38799,235,224,0,810,2022-04-23,2022-04-22,118364,684.3296948396472
2022-04-23,8,8311,69602,249,323,0,1588,2022-04-23,2022-04-22,230940,687.6244912098381
2022-04-23,8,8315,75712,314,325,2,1744,2022-04-23,2022-04-22,264867,658.443671729585
2022-04-23,8,8316,50891,233,204,1,1361,2022-04-23,2022-04-22,166862,815.6440651556376
2022-04-23,8,8317,147299,758,689,4,2657,2022-04-23,2022-04-22,432580,614.221646863008
2022-04-23,8,8325,50272,273,155,0,740,2022-04-23,2022-04-22,140166,527.9454361257366
2022-04-23,8,8326,72337,357,104,0,876,2022-04-23,2022-04-22,212872,411.5149009733548
2022-04-23,8,8327,49135,249,86,1,682,2022-04-23,2022-04-22,141682,481.35966460100786
2022-04-23,8,8335,85768,423,421,0,1469,2022-04-23,2022-04-22,286876,512.0679317893446
2022-04-23,8,8336,65965,412,174,1,1501,2022-04-23,2022-04-22,228842,655.911065276479
2022-04-23,8,8337,50384,311,138,0,791,2022-04-23,2022-04-22,171237,461.9328766563301
2022-04-23,8,8415,91278,437,360,1,2010,2022-04-23,2022-04-22,287497,699.1377301328362
2022-04-23,8,8416,67277,245,295,0,2070,2022-04-23,2022-04-22,228471,906.0230838924853
